Publication Date,Title,Link
2/24/2017,"Thomas Burke Memorial Washington State Museum, University of Washington, Seattle, WA",https://www.federalregister.gov/documents/2017/02/24/2017-03605/notice-of-intent-to-repatriate-cultural-items-thomas-burke-memorial-washington-state-museum
2/24/2017,"Arkansas Archeological Survey, Fayetteville, AR",https://www.federalregister.gov/documents/2017/02/24/2017-03606/notice-of-intent-to-repatriate-cultural-items-arkansas-archeological-survey-fayetteville-ar
2/24/2017,"American Museum of Natural History, New York, NY",https://www.federalregister.gov/documents/2017/02/24/2017-03623/notice-of-intent-to-repatriate-cultural-items-american-museum-of-natural-history-new-york-ny
2/24/2017,"State Historical Society of North Dakota, Bismarck, ND",https://www.federalregister.gov/documents/2017/02/24/2017-03624/notice-of-intent-to-repatriate-cultural-items-state-historical-society-of-north-dakota-bismarck-nd
1/12/2017,"Denver Museum of Nature & Science, Denver, CO",https://www.federalregister.gov/documents/2017/01/12/2017-00512/notice-of-intent-to-repatriate-cultural-items-denver-museum-of-nature-and-science-denver-co
1/12/2017,"Arizona State Museum, University of Arizona, Tucson, AZ",https://www.federalregister.gov/documents/2017/01/12/2017-00510/notice-of-intent-to-repatriate-cultural-items-arizona-state-museum-university-of-arizona-tucson-az
12/16/2016,"Allen County-Fort Wayne Historical Society, Fort Wayne, IN",https://www.federalregister.gov/documents/2016/12/16/2016-30338/notice-of-intent-to-repatriate-cultural-items-allen-county-fort-wayne-historical-society-fort-wayne
12/9/2016,"Fowler Museum at the University of California Los Angeles, Los Angeles, CA",https://www.federalregister.gov/documents/2016/12/09/2016-29535/notice-of-intent-to-repatriate-cultural-items-fowler-museum-at-the-university-of-california-los
12/9/2016,"University of Oregon Museum of Natural and Cultural History, Eugene, OR",https://www.federalregister.gov/documents/2016/12/09/2016-29537/notice-of-intent-to-repatriate-cultural-items-university-of-oregon-museum-of-natural-and-cultural
12/2/2016,"U.S. Army Corps of Engineers, Huntington District, Huntington, WV",https://www.federalregister.gov/documents/2016/12/02/2016-28960/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-huntington-district
12/2/2016,"Peabody Museum of Natural History, Yale University, New Haven, CT",https://www.federalregister.gov/documents/2016/12/02/2016-28952/notice-of-intent-to-repatriate-cultural-items-peabody-museum-of-natural-history-yale-university-new
11/28/2016,"Peabody Museum of Natural History, Yale University, New Haven, CT",https://www.federalregister.gov/documents/2016/11/28/2016-28512/notice-of-intent-to-repatriate-cultural-items-peabody-museum-of-natural-history-yale-university-new
11/9/2016,"Albion College, Albion, MI",https://www.federalregister.gov/documents/2016/11/09/2016-26977/notice-of-intent-to-repatriate-cultural-items-albion-college-albion-mi
11/9/2016,"U.S. Army Corps of Engineers, Omaha District, Omaha, NE",https://www.federalregister.gov/documents/2016/11/09/2016-26975/notice-of-intent-to-repatriate-cultural-items-us-army-corps-of-engineers-omaha-district-omaha-ne
10/18/2016,"Stearns History Museum, Saint Cloud, MN",https://www.federalregister.gov/documents/2016/10/18/2016-25127/notice-of-intent-to-repatriate-cultural-items-stearns-history-museum-saint-cloud-mn
10/3/2016,"Phoebe A. Hearst Museum of Anthropology, University of California, Berkeley, Berkeley, CA",https://www.federalregister.gov/documents/2016/10/03/2016-23805/notice-of-intent-to-repatriate-cultural-items-phoebe-a-hearst-museum-of-anthropology-university-of
9/16/2016,"Washington State Parks and Recreation Commission, Olympia, WA",https://www.federalregister.gov/documents/2016/09/16/2016-22314/notice-of-intent-to-repatriate-cultural-items-washington-state-parks-and-recreation-commission
7/5/2016,"Field Museum of Natural History, Chicago, IL",https://www.federalregister.gov/documents/2016/07/05/2016-15843/notice-of-intent-to-repatriate-cultural-items-field-museum-of-natural-history-chicago-il
7/5/2016,"Stanford University Heritage Services, Palo Alto, CA",https://www.federalregister.gov/documents/2016/07/05/2016-15838/notice-of-intent-to-repatriate-cultural-items-stanford-university-heritage-services-palo-alto-ca
6/8/2016,"Catalina Island Museum, Avalon, CA",https://www.federalregister.gov/documents/2016/06/08/2016-13588/notice-of-intent-to-repatriate-cultural-items-catalina-island-museum-avalon-ca
6/8/2016,"Lakeshore Museum Center, Muskegon, MI",https://www.federalregister.gov/documents/2016/06/08/2016-13598/notice-of-intent-to-repatriate-cultural-items-lakeshore-museum-center-muskegon-mi
6/8/2016,"Catalina Island Museum, Avalon, CA",https://www.federalregister.gov/documents/2016/06/08/2016-13589/notice-of-intent-to-repatriate-cultural-items-catalina-island-museum-avalon-ca
5/11/2016,"Peabody Museum of Natural History, Yale University, New Haven, CT",https://www.federalregister.gov/documents/2016/05/11/2016-11090/notice-of-intent-to-repatriate-cultural-items-peabody-museum-of-natural-history-yale-university-new
4/29/2016,"Robert S. Peabody Museum of Archaeology, Andover, MA",https://www.federalregister.gov/documents/2016/04/29/2016-10070/notice-of-intent-to-repatriate-cultural-items-robert-s-peabody-museum-of-archaeology-andover-ma
4/29/2016,"Peabody Museum of Archaeology and Ethnology, Harvard University, Cambridge, MA",https://www.federalregister.gov/documents/2016/04/29/2016-10068/notice-of-intent-to-repatriate-cultural-items-peabody-museum-of-archaeology-and-ethnology-harvard
4/21/2016,"Kansas State Historical Society, Topeka, KS",https://www.federalregister.gov/documents/2016/04/21/2016-09262/notice-of-intent-to-repatriate-cultural-items-kansas-state-historical-society-topeka-ks
4/13/2016,"History Colorado, formerly Colorado Historical Society, Denver, CO",https://www.federalregister.gov/documents/2016/04/13/2016-08452/notice-of-intent-to-repatriate-cultural-items-history-colorado-formerly-colorado-historical-society
4/13/2016,"History Colorado, Formerly Colorado Historical Society, Denver, CO",https://www.federalregister.gov/documents/2016/04/13/2016-08451/notice-of-intent-to-repatriate-cultural-items-history-colorado-formerly-colorado-historical-society
4/5/2016,"Illinois Historic Preservation Agency, Springfield, IL",https://www.federalregister.gov/documents/2016/04/05/2016-07773/notice-of-intent-to-repatriate-cultural-items-illinois-historic-preservation-agency-springfield-il
4/5/2016,"U.S. Department of Defense Army Corps of Engineers, Omaha District, Omaha, NE and State Archaeological Research Center, Rapid City, SD",https://www.federalregister.gov/documents/2016/04/05/2016-07770/notice-of-intent-to-repatriate-cultural-items-us-department-of-defense-army-corps-of-engineers-omaha
4/5/2016,"Grand Rapids Public Museum, Grand Rapids, Michigan",https://www.federalregister.gov/documents/2016/04/05/2016-07758/notice-of-intent-to-repatriate-cultural-items-grand-rapids-public-museum-grand-rapids-michigan
4/5/2016,"U.S. Department of Defense, Army Corps of Engineers, Omaha District, Omaha, NE., and State Archaeological Research Center, Rapid City, SD",https://www.federalregister.gov/documents/2016/04/05/2016-07767/notice-of-intent-to-repatriate-cultural-items-us-department-of-defense-army-corps-of-engineers-omaha
